,0
0,0.37070567218964806
1,0.21043262393763507
2,0.15640550191466793
3,0.13412997534634544
4,0.7735352099216927
5,0.23547485317795142
6,0.3317874502655499
7,0.41142640789501894
8,0.48523477908245327
9,0.23551590966134645
10,0.16136971278696072
11,0.2719805243666098
12,0.16644446578106933
13,0.4881111533774767
14,0.47956193718960305
15,0.7969459011287946
16,0.7680259520631542
17,0.5033526073011807
18,0.6771544736658036
19,0.2972674695630575
20,0.1832996437799032
21,0.16168277966732847
22,0.16128472410027286
23,0.2195106834531094
24,0.19981158487067485
25,0.6505398468719363
26,0.3545708609661645
27,0.12003271804383736
28,0.8180061727758188
29,0.42249700035175464
30,0.1549936818197657
31,0.20372661148438886
32,0.8348061466005706
33,0.25012416578636393
34,0.2998246158167634
35,0.21401335630150878
36,0.40592405602876513
37,0.2304698855227573
38,0.3282506474636178
39,0.6684808636427845
40,0.20579837150096794
41,0.2789798193559258
42,0.6087800741381106
43,0.22028023229915344
44,0.5618649141212061
45,0.3711446907582781
46,0.22709204841582803
47,0.09533398126177722
48,0.2814745138093953
49,0.24253606925959148
50,0.31748623702851253
51,0.4172049704092952
52,0.4911026658214066
53,0.33668555822791435
54,0.3717589463015973
55,0.3555559661393831
56,0.7094122788524508
57,0.1886573117452514
58,0.4399600432466584
59,0.5791019133447325
60,0.37263184312538145
61,0.384200178510392
62,0.4418894529423787
63,0.1467362201033202
64,0.6421290068666929
65,0.40245590311897084
66,0.38814721081182146
67,0.6495622159865178
68,0.838837278930668
69,0.1608530646913777
70,0.10223005175826519
71,0.15847588300645749
72,0.46420291507864875
73,0.1932592311672687
74,0.19364747493614418
75,0.16290302078172428
76,0.23126325886500926
77,0.3300519180274284
78,0.23198432402349453
79,0.30111339817837207
80,0.8853717949965416
81,0.24225578077927545
82,0.4530549441260454
83,0.36806569426207864
84,0.2385990043223436
85,0.6409979998193046
86,0.19315426313470338
87,0.2040732103868384
88,0.10744566402683321
89,0.22232964094734986
90,0.16403820755827164
91,0.7892104651233348
92,0.639032700430925
93,0.15303541139405022
94,0.313149208828239
95,0.2271338957742852
96,0.15088539217722002
97,0.3876048514721049
98,0.4062784389136374
99,0.24909130596817036
100,0.3726526813789782
101,0.3837291551108254
102,0.2980033588807944
103,0.7151159604692793
104,0.08239171736895956
105,0.40707672564504244
106,0.5382466180821283
107,0.25258407248301373
108,0.28616014812480234
109,0.1932986036155115
110,0.1817900490799491
111,0.2893023458950547
112,0.2986082716716194
113,0.16398118282759655
114,0.6995172139471569
115,0.42357317588229493
116,0.3978574760906691
117,0.445040245035838
118,0.4001641219980533
119,0.15617252109954707
120,0.6214090668747566
121,0.2708945736418829
122,0.17390321578178902
123,0.875126489733764
124,0.593321056318216
125,0.5347251926193727
126,0.44924087813219576
127,0.6117462799690174
128,0.4722093376110193
129,0.2844273936377265
130,0.5636752594181217
131,0.31240082689537796
132,0.5714097177073919
133,0.6782110941540096
134,0.4250359853528074
135,0.4826933249998182
136,0.11552854202236737
137,0.3561964478573323
138,0.5018379301865864
139,0.1695144931764817
140,0.19024295932052102
141,0.2643262046807587
142,0.20763768441363445
143,0.3351976702485243
144,0.4377771616805063
145,0.7673001555042293
146,0.564205785795843
147,0.46074987227020764
148,0.22805816155897746
149,0.2025291253301685
150,0.22629521917464235
151,0.12304695702881062
152,0.47478148800073283
153,0.5599674999596926
154,0.38896366158499146
155,0.24925141103052828
156,0.30986038436847185
157,0.34510747062970604
158,0.11403761745483486
159,0.261375897237373
160,0.5412147063582651
161,0.36643629581123915
162,0.11910601884673741
163,0.1423843570451301
164,0.3274845449463136
165,0.43705515142574397
166,0.7308086050613382
167,0.5285241472716842
168,0.8639136054874369
169,0.10993692509511539
170,0.16963052326015485
171,0.7498372191206775
172,0.23183168679668834
173,0.18023540911271274
174,0.21850887290636042
175,0.31431775692695696
176,0.1795104812821941
177,0.37747002206868663
178,0.2063790859300399
179,0.16869596045246937
180,0.41379284756736895
181,0.21512271977762287
182,0.6737048060202042
183,0.09555567714591374
184,0.1543976165254421
185,0.27681644020268054
186,0.7469465421056996
187,0.2576824089215055
188,0.24463082405152173
189,0.6002287874452257
190,0.15584817856993716
191,0.13275491067839185
192,0.7922564982659744
193,0.7099837251237189
194,0.30328631062785627
195,0.1965714374938377
196,0.24918943122578427
197,0.24744716877856235
